"order_id","customer_id","order_date","product_id","category","quantity","total_amount","discount"
56,946,2023-06-28,64,"Электроника",3,193.56,0.47
57,355,2023-07-19,186,"Косметика",4,155.4,0.49
58,984,2023-11-22,30,"Одежда",1,207.04,0.13
59,727,2023-08-16,102,"Косметика",1,477.65,0.2
60,945,2023-08-07,37,"Продукты",10,364.43,0.37
61,245,2023-12-15,50,"Косметика",8,256.85,0.07
62,922,2023-10-02,77,"Продукты",10,211.62,0.4
63,626,2023-12-15,81,"Электроника",4,137.25,0.44
64,262,2023-06-24,181,"Книги",10,311.18,0.39
65,390,2023-02-12,182,"Одежда",4,490.36,0.2
66,130,2023-11-12,181,"Продукты",8,68.79,0.34
67,372,2023-09-17,52,"Одежда",10,393.95,0.01
68,3,2023-09-23,59,"Продукты",3,442.85,0.5
69,374,2023-12-08,84,"Косметика",4,53.82,0.26
70,405,2023-03-20,186,"Одежда",7,85.23,0.29
71,770,2023-12-18,16,"Электроника",7,295.67,0.33
72,870,2023-03-02,136,"Одежда",5,259.12,0.44
73,698,2023-07-16,1,"Книги",8,30.2,0.47
74,650,2023-01-13,81,"Книги",5,154.82,0.07
75,40,2023-10-12,46,"Косметика",7,392.47,0.02
76,517,2023-05-23,196,"Электроника",5,191.26,0.38
77,33,2023-08-26,53,"Книги",1,68.41,0.07
78,945,2023-09-09,153,"Электроника",10,166.61,0.3
79,103,2023-01-22,189,"Продукты",7,474.23,0.34
80,228,2023-03-28,52,"Электроника",7,310.29,0.33
81,109,2023-10-06,105,"Электроника",7,449.1,0.26
82,329,2023-10-21,169,"Продукты",8,251.66,0.14
83,669,2023-09-13,37,"Электроника",2,107.17,0.4
84,76,2023-02-03,82,"Электроника",1,252,0.22
85,980,2023-02-13,72,"Продукты",1,115.92,0.03
86,777,2023-04-01,135,"Одежда",9,120.15,0.15
87,491,2023-07-16,109,"Электроника",3,219.37,0.03
88,547,2023-08-13,164,"Одежда",2,199.39,0.49
89,733,2023-11-03,144,"Продукты",8,220.37,0.26
90,16,2023-08-19,84,"Продукты",6,44.61,0.26
91,357,2023-05-14,163,"Косметика",5,216.76,0.15
92,732,2023-01-28,181,"Одежда",3,482,0.33
93,248,2023-05-11,42,"Одежда",7,488.16,0.07
94,325,2023-03-11,38,"Одежда",2,134.35,0.18
95,988,2023-03-29,173,"Электроника",5,179.9,0.11
96,630,2023-04-26,55,"Косметика",9,199,0.39
97,642,2023-04-20,162,"Продукты",6,433.66,0.26
98,82,2023-02-06,115,"Косметика",7,235.82,0.37
99,920,2023-06-20,172,"Одежда",9,447.2,0.29
100,881,2023-04-08,111,"Книги",6,185.72,0.21
101,914,2023-08-07,81,"Книги",3,44.58,0.34
102,325,2023-02-10,174,"Одежда",3,476.35,0.16
103,622,2023-05-25,152,"Одежда",8,471.87,0.47
104,360,2023-12-02,154,"Электроника",9,451.45,0.06
105,951,2023-08-20,112,"Одежда",5,211.47,0.39
106,296,2023-03-13,116,"Одежда",9,44.56,0.47
107,149,2023-03-06,92,"Косметика",6,52.91,0.4
108,996,2023-01-13,191,"Продукты",6,170.54,0.17
109,569,2023-06-05,120,"Одежда",10,15.24,0.04
110,100,2023-02-15,138,"Продукты",4,284.25,0.32
111,999,2023-09-04,139,"Одежда",6,73.35,0.32
112,298,2023-11-21,172,"Косметика",10,354.86,0.07
113,402,2023-09-21,71,"Продукты",8,382.31,0.11
114,91,2023-06-02,61,"Косметика",8,281.9,0.23
115,781,2023-09-24,6,"Одежда",5,224.93,0.1
116,181,2023-09-14,85,"Одежда",5,435.03,0.02
117,54,2023-07-05,89,"Электроника",5,436.63,0.34
118,851,2023-12-21,16,"Продукты",2,374.59,0.13
119,288,2023-03-03,92,"Электроника",4,221.07,0.19
120,720,2023-08-02,80,"Косметика",1,423.2,0.33
121,758,2023-10-27,102,"Книги",6,324.75,0.05
122,60,2023-12-29,5,"Косметика",6,301.73,0.46
123,285,2023-06-12,49,"Электроника",3,408.44,0.23
124,849,2023-04-04,193,"Продукты",4,466.61,0.07
125,620,2023-08-21,24,"Продукты",2,98.37,0.48
126,969,2023-09-12,55,"Косметика",10,240.79,0.45
127,377,2023-08-26,112,"Одежда",8,415.32,0.41
128,853,2023-02-02,134,"Косметика",8,252.78,0.29
129,638,2023-10-05,137,"Электроника",6,120.04,0
130,427,2023-04-14,110,"Одежда",4,181.05,0.28
131,442,2023-06-20,150,"Косметика",10,496.05,0.49
132,112,2023-09-15,50,"Продукты",3,132.28,0.21
133,584,2023-04-21,125,"Электроника",9,141.02,0.15
134,285,2023-12-04,46,"Одежда",10,436.53,0.19
135,951,2023-09-04,185,"Книги",7,131.98,0.23
136,934,2023-09-19,185,"Косметика",9,110.44,0.38
137,513,2023-05-23,168,"Электроника",2,231.08,0.06
138,141,2023-08-08,146,"Продукты",5,208.79,0.17
139,718,2023-03-15,117,"Косметика",10,422.88,0.35
140,901,2023-01-27,85,"Книги",7,243.07,0.11
141,969,2023-11-17,148,"Книги",8,61.06,0.36
142,311,2023-01-04,145,"Книги",9,320.32,0.48
143,912,2023-06-12,172,"Одежда",7,161.34,0.29
144,474,2023-05-26,152,"Книги",7,101.22,0.43
145,811,2023-12-14,181,"Продукты",10,218.94,0.44
146,554,2023-02-10,10,"Одежда",7,435.56,0.15
147,42,2023-02-15,200,"Книги",9,320.42,0.09
148,760,2023-05-23,96,"Электроника",9,243.9,0.17
149,865,2023-01-04,182,"Электроника",8,203.27,0.22
150,251,2023-06-24,43,"Одежда",7,383.06,0.23
151,441,2023-02-15,185,"Электроника",8,353.6,0.07
152,669,2023-05-05,26,"Электроника",7,65.86,0.37
153,25,2023-01-11,64,"Одежда",1,129.25,0.41
154,883,2023-03-29,70,"Продукты",3,179.39,0.33
155,703,2023-03-07,31,"Электроника",9,141.08,0.18
156,544,2023-04-02,4,"Одежда",6,379.33,0.13
157,849,2023-05-04,86,"Одежда",10,408.64,0.11
158,238,2023-01-15,102,"Книги",3,414.71,0.5
159,526,2023-10-29,17,"Косметика",5,220.45,0.26
160,623,2023-02-18,143,"Продукты",8,216.73,0.46
161,262,2023-03-01,66,"Косметика",2,82.44,0.2
162,504,2023-10-15,25,"Продукты",8,270.55,0.07
163,943,2023-10-01,137,"Книги",5,316.32,0.25
164,299,2023-12-26,189,"Одежда",7,431.49,0.37
165,446,2023-06-13,16,"Продукты",2,427.85,0.22
166,933,2023-10-06,110,"Косметика",7,318.88,0.39
167,720,2023-02-09,24,"Одежда",1,443.04,0.14
168,369,2023-07-26,163,"Одежда",1,232.19,0.47
169,512,2023-05-25,192,"Электроника",9,227.87,0.12
170,758,2023-01-26,99,"Продукты",7,482.45,0.16
171,369,2023-05-17,175,"Косметика",7,463.43,0.39
172,754,2023-04-13,194,"Электроника",8,354.47,0.14
173,799,2023-05-03,62,"Продукты",5,93.66,0.35
174,930,2023-04-24,107,"Книги",7,374.53,0.2
175,862,2023-11-21,35,"Одежда",4,102.94,0.46
176,224,2023-12-03,45,"Электроника",4,164.54,0.46
177,774,2023-10-21,141,"Продукты",10,421.14,0.22
178,214,2023-12-28,155,"Косметика",7,264.38,0.17
179,294,2023-04-15,19,"Книги",2,113.92,0.33
180,607,2023-03-30,64,"Электроника",7,80.31,0.45
181,518,2023-07-03,98,"Косметика",1,27.36,0.45
182,852,2023-12-02,148,"Одежда",7,424.91,0.2
183,764,2023-07-06,152,"Продукты",4,282.46,0.18
184,783,2023-12-22,107,"Электроника",2,107.15,0.02
185,546,2023-11-22,109,"Продукты",7,378.65,0.38
186,426,2023-09-21,79,"Книги",4,147.29,0.28
187,471,2023-04-03,159,"Косметика",8,460.3,0.21
188,188,2023-11-29,186,"Книги",2,482.59,0.1
189,254,2023-11-26,132,"Косметика",9,342.7,0.15
190,268,2023-06-21,163,"Продукты",6,68.88,0.16
191,640,2023-09-08,148,"Косметика",2,184.7,0.49
192,410,2023-09-14,56,"Одежда",9,365.06,0.21
193,41,2023-10-06,57,"Книги",5,36.2,0.28
194,193,2023-09-08,32,"Электроника",5,310.12,0.05
195,578,2023-04-17,49,"Одежда",7,205.79,0.39
196,824,2023-08-27,197,"Электроника",5,21.17,0.48
197,664,2023-01-07,90,"Книги",6,249.54,0.08
198,98,2023-04-05,65,"Электроника",5,277.97,0.31
199,537,2023-03-21,73,"Одежда",1,173.11,0.19
200,348,2023-03-23,109,"Косметика",7,218.49,0.3
201,107,2023-07-26,25,"Продукты",7,294.38,0.16
202,317,2023-10-04,82,"Электроника",5,202.48,0.45
203,958,2023-05-03,117,"Книги",10,246.17,0.43
204,14,2023-10-16,119,"Электроника",9,269.72,0.03
205,162,2023-03-26,197,"Книги",4,271.78,0.04
206,636,2023-05-19,109,"Одежда",5,139.42,0.46
207,706,2023-08-19,181,"Одежда",1,109,0.38
208,607,2023-07-18,86,"Книги",5,313.73,0.28
209,544,2023-08-03,7,"Книги",6,406.91,0.26
210,923,2023-06-04,14,"Косметика",9,154.78,0.03
211,906,2023-07-14,119,"Косметика",5,474.35,0.24
212,697,2023-01-23,146,"Косметика",1,260.2,0.45
213,796,2023-10-22,62,"Косметика",5,264.87,0.35
214,630,2023-11-16,124,"Одежда",3,274.57,0.42
215,37,2023-10-07,185,"Продукты",4,169.07,0.43
216,138,2023-06-14,50,"Электроника",6,378.22,0.19
217,369,2023-12-14,93,"Электроника",6,287.3,0.41
218,773,2023-04-07,180,"Продукты",8,120.6,0.11
219,547,2023-04-17,99,"Продукты",4,344.19,0.22
220,78,2023-02-21,86,"Электроника",1,25.64,0.33
221,526,2023-01-26,32,"Книги",9,323.6,0.43
222,668,2023-02-17,98,"Одежда",8,11.09,0.27
223,890,2023-12-26,18,"Одежда",3,244.05,0.08
224,97,2023-02-01,66,"Книги",1,138.26,0.02
225,741,2023-04-21,68,"Продукты",3,45.5,0.2
226,483,2023-01-07,93,"Книги",9,275.66,0.24
227,182,2023-05-03,189,"Косметика",10,102.86,0.3
228,474,2023-06-23,95,"Одежда",5,166.58,0.27
229,127,2023-07-28,191,"Одежда",2,489.67,0.4
230,799,2023-09-20,112,"Продукты",9,141.72,0.46
231,493,2023-08-17,164,"Продукты",3,273.56,0.33
232,555,2023-11-23,159,"Продукты",8,20.45,0.31
233,692,2023-10-03,182,"Косметика",9,471.32,0.22
234,506,2023-12-14,135,"Одежда",4,33.09,0.11
235,992,2023-07-31,26,"Книги",3,21.29,0.23
236,337,2023-08-19,199,"Одежда",4,124.54,0.09
237,955,2023-04-17,192,"Одежда",4,350.65,0.28
238,539,2023-07-16,91,"Электроника",5,69.04,0.23
239,542,2023-05-05,68,"Косметика",9,235.2,0.35
240,180,2023-11-26,34,"Косметика",10,33.56,0.08
241,868,2023-10-08,106,"Электроника",5,196.76,0.01
242,212,2023-02-21,151,"Продукты",4,125.02,0.05
243,587,2023-08-25,89,"Электроника",6,403.49,0.43
244,977,2023-11-27,138,"Книги",1,465.15,0.24
245,201,2023-11-01,124,"Книги",8,264.77,0.2
246,401,2023-04-19,52,"Косметика",8,302.61,0.48
247,62,2023-11-10,86,"Электроника",2,312.56,0.33
248,269,2023-12-14,147,"Электроника",4,161.52,0.41
249,991,2023-05-17,44,"Электроника",1,142.25,0.21
250,382,2023-12-19,89,"Книги",8,47.37,0.33
251,124,2023-07-19,53,"Электроника",10,114.06,0.2
252,63,2023-10-25,70,"Косметика",7,222.49,0.39
253,561,2023-05-19,139,"Косметика",10,33.7,0.28
254,573,2023-01-06,76,"Книги",3,281.01,0.01
255,628,2023-02-17,89,"Одежда",5,322.46,0.46
256,769,2023-03-09,45,"Косметика",7,33.73,0.3
257,913,2023-09-18,49,"Косметика",10,53.1,0.17
258,929,2023-12-22,44,"Книги",3,337.06,0.06
259,540,2023-11-25,70,"Одежда",1,311.73,0.23
260,2,2023-08-13,191,"Одежда",4,64.18,0.2
261,671,2023-11-10,7,"Одежда",1,367.36,0.09
262,648,2023-09-30,104,"Продукты",7,426.99,0.04
263,127,2023-01-10,4,"Продукты",8,283.94,0.43
264,208,2023-07-28,171,"Электроника",8,475.3,0.43
265,771,2023-05-09,139,"Книги",7,90.37,0.28
266,741,2023-05-09,119,"Одежда",4,450.81,0.37
267,269,2023-12-11,155,"Книги",8,143.15,0.17
268,12,2023-03-31,98,"Одежда",1,73.67,0.09
269,705,2023-03-22,16,"Электроника",3,264.94,0.33
270,670,2023-07-03,6,"Косметика",10,302.95,0.46
271,563,2023-02-16,133,"Продукты",8,336.51,0.18
272,444,2023-01-25,127,"Книги",10,436.17,0.1
273,863,2023-07-16,13,"Косметика",1,188.32,0.09
274,677,2023-05-06,124,"Продукты",6,409.41,0.1
275,559,2023-06-03,104,"Электроника",3,52.29,0.19
276,824,2023-06-25,7,"Электроника",9,58.7,0.34
277,198,2023-12-01,51,"Продукты",5,391.74,0.02
278,912,2023-05-29,43,"Книги",7,33.45,0.14
279,10,2023-07-01,152,"Электроника",2,373.48,0.45
280,967,2023-05-10,165,"Косметика",1,49.52,0.42
281,255,2023-10-22,5,"Продукты",3,477.13,0.04
282,201,2023-01-11,58,"Одежда",3,206.8,0.23
283,745,2023-04-29,138,"Одежда",2,398.46,0.19
284,921,2023-08-12,21,"Книги",1,67.52,0.14
285,515,2023-11-03,105,"Электроника",6,188.83,0.36
286,850,2023-01-21,183,"Одежда",9,272.97,0.34
287,181,2023-12-31,123,"Электроника",4,248.14,0.36
288,751,2023-11-01,3,"Книги",2,440.23,0.4
289,284,2023-04-20,27,"Косметика",3,447.02,0.28
290,764,2023-11-04,166,"Книги",5,79.54,0.42
291,463,2023-07-15,124,"Книги",10,337.29,0.32
292,605,2023-09-25,14,"Одежда",1,40.31,0.19
293,313,2023-02-16,26,"Электроника",2,424.57,0.35
294,84,2023-03-20,121,"Косметика",10,476.75,0.41
295,985,2023-01-10,163,"Электроника",5,302.98,0.2
296,464,2023-12-01,33,"Книги",6,51.08,0.18
297,886,2023-06-17,6,"Книги",7,187.1,0.27
298,984,2023-01-10,101,"Одежда",1,123.2,0.37
299,225,2023-08-12,92,"Продукты",8,442.52,0.24
300,573,2023-02-18,92,"Одежда",1,351.74,0.43
301,102,2023-01-02,150,"Косметика",10,166.23,0.49
302,171,2023-10-27,121,"Одежда",3,163.39,0.24
303,489,2023-09-29,16,"Косметика",9,214.94,0.4
304,662,2023-01-26,89,"Книги",10,43.13,0.4
305,922,2023-04-28,52,"Одежда",10,451.62,0.49
306,694,2023-07-09,24,"Продукты",4,381.33,0.19
307,822,2023-08-01,19,"Одежда",3,291.17,0.02
308,980,2023-07-11,159,"Книги",8,282.66,0.45
309,567,2023-12-18,90,"Продукты",8,498.22,0.35
310,566,2023-08-05,89,"Книги",3,296.94,0.01
311,826,2023-01-08,109,"Электроника",5,113.96,0.25
312,685,2023-04-15,15,"Одежда",9,211.48,0.37
313,421,2023-01-15,198,"Одежда",5,345.7,0.27
314,555,2023-05-26,170,"Электроника",10,63.77,0.02
315,207,2023-12-07,11,"Продукты",5,409.18,0.43
316,85,2023-05-06,180,"Одежда",10,217.53,0.15
317,930,2023-01-27,4,"Одежда",4,12.01,0.27
318,153,2023-02-23,108,"Продукты",4,58.88,0.48
319,870,2023-09-15,64,"Продукты",10,374.5,0.48
320,961,2023-12-19,139,"Косметика",2,418.94,0.11
321,910,2023-04-17,127,"Продукты",2,288.94,0.45
322,240,2023-12-11,27,"Электроника",4,16.81,0.15
323,49,2023-04-30,17,"Электроника",8,123.96,0.45
324,139,2023-03-31,35,"Продукты",2,480.7,0
325,156,2023-10-30,57,"Книги",8,411.86,0.28
326,274,2023-04-26,175,"Продукты",9,247.04,0.12
327,567,2023-06-03,88,"Книги",8,272.56,0.02
328,226,2023-09-15,142,"Книги",7,459.45,0.36
329,762,2023-10-13,188,"Продукты",1,152.87,0.28
330,170,2023-06-08,197,"Косметика",9,182.27,0.39
331,292,2023-08-16,146,"Косметика",3,426.3,0.01
332,148,2023-04-08,107,"Одежда",5,182.53,0.08
333,719,2023-05-26,75,"Одежда",3,78.63,0.13
334,189,2023-04-26,67,"Косметика",9,238.16,0.01
335,839,2023-02-06,160,"Продукты",9,183.59,0.22
336,113,2023-06-12,54,"Продукты",9,404.54,0.23
337,27,2023-07-05,186,"Продукты",7,217,0.13
338,606,2023-11-09,60,"Одежда",3,393.64,0.23
339,645,2023-09-14,81,"Продукты",8,301.76,0.37
340,86,2023-06-07,12,"Книги",10,89.63,0.24
341,916,2023-05-02,40,"Одежда",5,111.54,0.05
342,626,2023-01-08,48,"Книги",10,264.5,0.35
343,250,2023-12-07,47,"Книги",2,276.21,0.2
344,169,2023-02-26,132,"Косметика",5,439.14,0.09
345,907,2023-02-15,176,"Продукты",2,232.53,0.05
346,732,2023-11-18,74,"Косметика",8,206.36,0.43
347,550,2023-10-01,64,"Электроника",4,484.39,0.06
348,362,2023-09-11,195,"Электроника",9,462.3,0.12
349,457,2023-08-16,92,"Одежда",7,314.79,0.17
350,895,2023-11-09,19,"Косметика",3,172.56,0.46
351,919,2023-05-12,167,"Книги",1,413.86,0.3
352,858,2023-11-23,161,"Книги",4,268.74,0.38
353,115,2023-06-15,87,"Продукты",8,449.72,0.44
354,873,2023-12-15,178,"Косметика",2,316.03,0.13
355,779,2024-01-01,106,"Книги",4,286.55,0.32
356,915,2023-12-01,140,"Одежда",7,82.28,0.1
357,732,2023-12-11,43,"Продукты",5,364.41,0.22
358,213,2023-12-02,172,"Электроника",6,428.43,0.26
359,292,2023-12-14,9,"Продукты",4,162.27,0.27
360,426,2023-12-23,10,"Косметика",10,257.26,0.33
361,214,2023-09-20,73,"Одежда",9,143.11,0.09
362,985,2023-09-01,88,"Косметика",4,408.73,0.37
363,438,2023-07-28,31,"Одежда",10,465.94,0.34
364,827,2023-08-19,4,"Одежда",10,256.8,0.21
365,625,2023-04-01,190,"Одежда",10,489.77,0.24
366,542,2023-01-11,13,"Книги",10,452.08,0.09
367,699,2023-05-03,143,"Косметика",6,112.35,0.01
368,469,2023-04-12,18,"Продукты",4,314.82,0.01
369,876,2023-03-13,75,"Электроника",10,112.7,0.22
370,917,2023-04-26,157,"Продукты",10,137.41,0.25
371,966,2023-07-30,134,"Книги",5,439.13,0.18
372,559,2023-02-24,154,"Одежда",8,214.01,0.01
373,105,2023-12-05,42,"Одежда",2,341.24,0.28
374,202,2023-06-04,60,"Книги",10,338.41,0.21
375,88,2023-02-08,99,"Электроника",8,363.71,0.11
376,370,2023-03-18,159,"Одежда",2,18.04,0.41
377,951,2023-07-31,167,"Косметика",6,158.48,0.3
378,391,2023-09-23,22,"Книги",8,410.82,0.5
379,398,2023-06-05,13,"Книги",5,212.2,0.18
380,268,2023-10-13,34,"Продукты",2,457.35,0.26
381,693,2023-06-17,191,"Книги",9,183.89,0.21
382,819,2023-02-06,59,"Косметика",8,335.26,0.46
383,522,2023-08-25,160,"Электроника",8,326.62,0.07
384,121,2023-04-24,47,"Продукты",3,493.17,0.48
385,601,2023-08-06,137,"Продукты",3,225.15,0.06
386,37,2023-06-03,91,"Книги",5,330.47,0.12
387,706,2023-07-12,5,"Одежда",5,44.49,0.42
388,163,2023-10-10,137,"Косметика",10,496.07,0.33
389,418,2023-11-22,189,"Электроника",5,128.34,0.15
390,795,2023-11-15,149,"Продукты",8,260.22,0.05
391,46,2023-08-09,93,"Одежда",6,148.72,0.11
392,287,2023-10-16,195,"Электроника",9,78.65,0.02
393,859,2023-10-12,48,"Косметика",5,175.78,0.03
394,464,2023-10-08,158,"Электроника",8,339.26,0.38
395,868,2023-10-24,62,"Книги",2,388.28,0.28
396,376,2023-10-08,19,"Книги",8,252.46,0.47
397,821,2023-10-13,162,"Книги",1,380.65,0.39
398,280,2023-08-05,17,"Одежда",4,112.56,0.35
399,934,2023-10-05,197,"Косметика",9,179.75,0.32
400,756,2023-03-31,93,"Электроника",8,427.64,0.34
401,981,2023-10-22,43,"Косметика",4,237.35,0.38
402,404,2023-05-15,42,"Продукты",8,143.78,0.03
403,715,2023-12-07,146,"Продукты",9,199.41,0.11
404,225,2023-10-20,72,"Электроника",10,41.33,0.4
405,379,2023-09-13,85,"Продукты",7,347.98,0.41
406,206,2023-11-12,172,"Одежда",8,43.41,0.41
407,348,2023-04-16,96,"Одежда",3,347.47,0.44
408,801,2023-02-22,2,"Косметика",5,348.93,0.39
409,605,2023-04-03,38,"Одежда",8,294.39,0.06
410,804,2023-09-15,154,"Продукты",3,352.19,0.47
411,301,2023-04-28,179,"Косметика",4,251.81,0.28
412,864,2023-09-23,152,"Электроника",6,499.24,0.37
413,358,2023-07-03,51,"Продукты",3,41.89,0.44
414,918,2023-09-23,137,"Книги",5,468.22,0.37
415,684,2023-05-10,196,"Электроника",1,372.84,0.05
416,960,2023-05-16,19,"Электроника",4,228.47,0.45
417,765,2023-11-08,147,"Электроника",3,370.46,0.17
418,647,2023-10-23,67,"Электроника",1,431.97,0.3
419,876,2023-07-18,39,"Одежда",1,392.42,0.23
420,773,2023-12-11,102,"Косметика",7,309.58,0.39
421,159,2023-04-05,32,"Одежда",4,439.87,0.36
422,928,2023-06-30,199,"Книги",3,253.58,0.18
423,978,2023-03-17,104,"Книги",5,427.21,0.46
424,935,2023-09-19,22,"Книги",6,53.28,0.19
425,653,2023-12-08,57,"Косметика",3,251.57,0.19
426,378,2023-08-08,39,"Продукты",1,311.34,0.43
427,542,2023-03-08,170,"Книги",10,449.44,0.43
428,54,2023-01-07,51,"Продукты",4,355.8,0.3
429,514,2023-09-11,7,"Косметика",2,481.34,0.31
430,540,2023-01-08,113,"Книги",7,270.47,0.45
431,387,2023-12-02,49,"Книги",1,151.11,0.03
432,929,2023-09-18,49,"Одежда",6,475.29,0.33
433,623,2023-03-12,130,"Продукты",1,239.22,0.18
434,989,2023-10-02,35,"Косметика",10,418.19,0.37
435,212,2023-04-30,65,"Книги",3,144.82,0.4
436,747,2023-03-21,188,"Продукты",10,437.24,0.17
437,265,2023-05-14,117,"Одежда",7,305.18,0.31
438,822,2023-06-30,55,"Электроника",5,298.45,0.37
439,138,2023-02-26,173,"Электроника",5,407.89,0.48
440,711,2023-12-25,22,"Электроника",1,308.46,0.47
441,627,2023-06-30,93,"Электроника",1,403.81,0.47
442,988,2023-06-12,137,"Книги",7,15.66,0.29
443,594,2023-09-01,126,"Электроника",2,81.52,0.13
444,409,2023-06-29,42,"Продукты",7,355.53,0.27
445,620,2023-03-31,63,"Одежда",8,375.53,0
446,202,2023-08-02,47,"Книги",2,198.17,0.39
447,73,2023-08-08,196,"Одежда",1,385.43,0.38
448,659,2023-03-22,107,"Косметика",8,312.14,0.06
449,335,2023-05-17,176,"Продукты",10,146.03,0.39
450,46,2023-11-04,92,"Одежда",6,259.07,0.06
451,247,2023-01-13,164,"Одежда",7,383.85,0.19
452,131,2023-07-03,133,"Книги",2,332.52,0.48
453,150,2023-04-12,2,"Косметика",2,88.7,0.06
454,61,2023-09-29,157,"Косметика",5,132.46,0.05
455,20,2023-06-07,108,"Книги",10,420.83,0.2
456,682,2023-08-17,79,"Электроника",8,376.18,0.2
457,354,2023-03-08,78,"Одежда",10,159.08,0.1
458,983,2023-11-26,169,"Одежда",9,280.15,0.3
459,529,2023-11-07,111,"Одежда",6,262.44,0.13
460,82,2023-05-11,113,"Электроника",9,94.77,0.33
461,211,2023-07-23,134,"Продукты",6,393.78,0.33
462,174,2023-12-24,40,"Продукты",3,334.12,0.37
463,273,2023-10-10,44,"Одежда",9,242.73,0.02
464,94,2023-06-27,36,"Одежда",6,431.25,0.35
465,330,2023-07-29,19,"Книги",8,50.23,0.15
466,933,2023-11-09,118,"Продукты",1,122.91,0.35
467,429,2024-01-01,195,"Книги",3,106.7,0.16
468,690,2023-11-08,63,"Косметика",7,486.93,0.47
469,179,2023-09-06,158,"Одежда",9,493.66,0.38
470,74,2023-12-27,169,"Одежда",1,280.33,0.48
471,304,2023-08-14,85,"Электроника",3,189.58,0.1
472,930,2023-06-21,134,"Книги",5,182.98,0.08
473,954,2023-08-14,174,"Продукты",9,426.38,0.19
474,836,2023-12-21,112,"Электроника",8,235.7,0.31
475,473,2023-04-01,46,"Книги",1,392.61,0.39
476,346,2023-06-29,83,"Продукты",5,71.98,0.4
477,829,2023-04-24,14,"Косметика",3,467.62,0.46
478,231,2023-05-15,112,"Книги",5,369.98,0.16
479,929,2023-01-16,58,"Книги",2,340.28,0.44
480,366,2023-02-02,157,"Косметика",10,31.72,0.38
481,116,2023-06-19,170,"Электроника",6,227.59,0.4
482,726,2023-03-15,190,"Одежда",8,70.95,0.08
483,108,2023-10-22,146,"Электроника",3,384.61,0.22
484,659,2023-06-18,187,"Косметика",4,143.9,0.49
